"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Chst2",5.90899549648961e-13,0.261113088751149,0.125,0.03,9.8697951777866e-09,"7","Chst2"
"Il2rg2",6.17263122460452e-13,0.401350904975615,0.76,0.718,1.03101459344569e-08,"7","Il2rg"
"Gm9843",7.48358246384241e-13,0.301951785365454,0.99,0.946,1.2499827789356e-08,"7","Gm9843"
"Ube2b1",1.32487546474159e-12,0.35443142515223,0.86,0.809,2.21293948875788e-08,"7","Ube2b"
"Klrc11",2.31570717724388e-12,0.792727050110745,0.405,0.235,3.86792569815046e-08,"7","Klrc1"
"Cd5",3.37906762325633e-12,0.426920948627447,0.185,0.061,5.64405665112505e-08,"7","Cd5"
"Vps37b2",3.42680896816549e-12,0.338636073022847,0.94,0.862,5.72379901952682e-08,"7","Vps37b"
"Cd4",3.9861842810073e-12,0.383490552225937,0.155,0.046,6.6581236045665e-08,"7","Cd4"
"Ssh21",5.72286677852136e-12,0.602018547129231,0.535,0.394,9.55890438016423e-08,"7","Ssh2"
"Skap12",6.40346932271346e-12,0.413069595878654,0.575,0.407,1.06957148097283e-07,"7","Skap1"
"Rps15",1.32162014192545e-11,0.255860148277459,1,0.989,2.20750212305808e-07,"7","Rps15"
"Il2rb1",1.87108100941855e-11,0.376460779696848,0.86,0.793,3.1252666100318e-07,"7","Il2rb"
"Rnf138",1.98864303046756e-11,0.563956475550482,0.47,0.326,3.32163045378997e-07,"7","Rnf138"
"Gimap6",2.99715585082008e-11,0.322050797175347,0.26,0.109,5.00614941762479e-07,"7","Gimap6"
"Rps27rt1",3.79245313482386e-11,0.351650330529321,0.985,0.974,6.3345344710963e-07,"7","Rps27rt"
"Rpl5",4.24712922021836e-11,0.307698305382837,0.93,0.903,7.09397993653072e-07,"7","Rpl5"
"Tbx21",7.91369699023467e-11,0.252914140370456,0.135,0.039,1.3218248082789e-06,"7","Tbx21"
"Hnrnpf",9.68728545663839e-11,0.253744142208568,0.92,0.912,1.61806728982231e-06,"7","Hnrnpf"
"Npm1",1.23023757787615e-10,0.290466788622145,0.89,0.891,2.05486582632654e-06,"7","Npm1"
"Fyb2",1.76632177422464e-10,0.50599932473053,0.6,0.499,2.95028725948742e-06,"7","Fyb"
"Btg21",2.1863413186972e-10,0.442989969767198,0.845,0.832,3.65184590461994e-06,"7","Btg2"
"Qpct",7.89511599206488e-10,0.329026369251938,0.24,0.11,1.3187212241546e-05,"7","Qpct"
"Icos2",1.02759625127477e-09,0.565279991411934,0.58,0.451,1.71639401850424e-05,"7","Icos"
"Odc12",1.03029883709176e-09,0.344633394819892,0.885,0.834,1.72090814759437e-05,"7","Odc1"
"Selplg",1.04489468310066e-09,0.409018784673078,0.8,0.804,1.74528758918303e-05,"7","Selplg"
"Ptprc",1.07414805815067e-09,0.309958902096391,0.84,0.827,1.79414950152906e-05,"7","Ptprc"
"Ppp1cc3",1.19942797494318e-09,0.342380951325447,0.86,0.829,2.00340454654759e-05,"7","Ppp1cc"
"Prdx62",1.24836233049591e-09,0.433785134247547,0.74,0.723,2.08513960062732e-05,"7","Prdx6"
"Prkca",1.29286093789645e-09,0.605967793930805,0.34,0.196,2.15946562456844e-05,"7","Prkca"
"Gpr1711",1.64475343959258e-09,0.526193520264432,0.51,0.375,2.74723167015148e-05,"7","Gpr171"
"Ldha2",3.24519307410401e-09,0.314402352110391,0.92,0.928,5.42044599167593e-05,"7","Ldha"
"Laptm5",3.36743194730043e-09,0.32289491956885,0.895,0.902,5.62462158157591e-05,"7","Laptm5"
"Ly6c22",4.10342286882306e-09,0.775617579894765,0.55,0.423,6.85394721779515e-05,"7","Ly6c2"
"Rnf1251",5.08293668727959e-09,0.485836308229806,0.45,0.324,8.4900291487631e-05,"7","Rnf125"
"Cd522",5.79557076727778e-09,0.314160372267602,0.975,0.937,9.68034185258408e-05,"7","Cd52"
"Ctsd1",7.16790870166634e-09,0.474637985654474,0.635,0.597,0.000119725579043933,"7","Ctsd"
"Elovl52",8.22745840793692e-09,0.445968115998351,0.615,0.546,0.00013742323778777,"7","Elovl5"
"Gm118081",1.1626159389239e-08,0.286272418385934,0.89,0.894,0.00019419174027846,"7","Gm11808"
"H2-Q4",1.21967748823018e-08,0.447372223770112,0.575,0.483,0.000203722730859086,"7","H2-Q4"
"Gm94931",1.51869717699143e-08,0.322550864754683,0.885,0.854,0.000253667989472879,"7","Gm9493"
"Ndfip12",1.57420257398391e-08,0.447205758461072,0.685,0.656,0.000262939055932532,"7","Ndfip1"
"Ctla2b2",1.73410417678821e-08,0.482933772964233,0.475,0.352,0.000289647420648934,"7","Ctla2b"
"Xcl11",3.17471433384384e-08,1.00645603332711,0.38,0.259,0.000530272535181937,"7","Xcl1"
"Rpl6l",3.95677164627124e-08,0.264277104320198,0.85,0.829,0.000660899568076684,"7","Rpl6l"
"Tgfb13",4.58094141297711e-08,0.425596408891734,0.83,0.851,0.000765154644209567,"7","Tgfb1"
"Emb2",4.66250097601459e-08,0.348306072917946,0.79,0.8,0.000778777538023717,"7","Emb"
"Gimap1",5.01869343159618e-08,0.449327390022457,0.245,0.124,0.00083827236387951,"7","Gimap1"
"Nt5e1",5.51602490500876e-08,0.386614930508834,0.28,0.15,0.000921341639883613,"7","Nt5e"
