"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","cluster"
"203",0.25261489744026,-0.257856517564721,0.978,0.881,1,"Fosb",8
"204",0.267737553782314,-0.63643653851543,0.723,0.551,1,"Hspa1a",8
"205",0.273755741604482,-0.311247972856033,0.995,0.954,1,"Odc1",8
"206",0.289344779110771,-0.278295603694783,0.995,0.972,1,"Lgals3",8
"207",0.293034521662558,-0.539819308764866,0.94,0.779,1,"Jun",8
"208",0.35779640501727,-0.284221512466795,0.967,0.719,1,"Sfn",8
"209",0.362148109080452,0.413065757974817,0.554,0.34,1,"Il22",8
"210",0.455252277632027,-0.263790178226127,0.908,0.814,1,"Uap1",8
"211",0.457193517190012,-0.263173689537258,0.772,0.565,1,"Dync1i2",8
"212",0.45854471999174,-0.266813495356719,0.924,0.786,1,"Tuba1c",8
"213",0.505640155288727,0.450351106015954,0.467,0.316,1,"Gzmb",8
"214",0.506894038146582,-0.27833155873845,0.712,0.607,1,"Pdia4",8
"215",0.543482563212917,-0.28941803831426,0.951,0.719,1,"Sat1",8
"216",0.557949030656952,0.333318583684277,0.538,0.474,1,"Il17a",8
"217",0.582097010164452,-0.327734341967797,0.967,0.796,1,"Herpud1",8
"218",0.591654150358367,-0.327970754986268,0.902,0.768,1,"Bhlhe40",8
"219",0.593695703496263,-0.271259124124282,0.978,0.832,1,"Fos",8
"220",0.701890062349366,-0.287548377502114,0.995,0.804,1,"Sap18",8
"221",0.741558931470662,-0.300956148836846,0.918,0.754,1,"Top1",8
"222",0.752165654035518,-0.292227665609818,0.978,0.839,1,"Atf3",8
"223",0.755464013790588,-0.265906636800979,0.777,0.551,1,"Sdc1",8
"224",0.825181766796743,-0.285899668466814,0.978,0.839,1,"Rel",8
"225",0.840364104379485,-0.332588226484339,0.848,0.656,1,"Eif4e",8
"226",0.911355987156651,-0.272649108082848,0.957,0.782,1,"Emp1",8
"227",0.000556816113632502,0.255680431462405,1,0.944,1,"Dsc3",9
"228",0.00122634566549834,-0.466297477088266,0.951,0.969,1,"Jun",9
"229",0.00175993156986641,-0.329082922117891,0.588,0.616,1,"Aldh3a1",9
"230",0.00180737759242636,-0.470955469525643,0.951,0.594,1,"Ccl17",9
"231",0.00423717589812279,-0.275560670311773,0.902,0.766,1,"Krt10",9
"232",0.00877289880886334,-0.302045021441788,0.52,0.475,1,"Id1",9
"233",0.00979522245395386,-0.316461339295255,0.941,0.897,1,"Cd52",9
"234",0.0118464672042638,-0.26310177529686,0.99,0.975,1,"Pim1",9
"235",0.0119408275137906,-0.293042471433823,0.961,0.981,1,"Fos",9
"236",0.0134885808699824,0.359833991755725,0.725,0.534,1,"Gsta4",9
"237",0.0189112379411286,-0.587998087475531,0.49,0.425,1,"Defb6",9
"238",0.0239761750838058,-0.603853185450463,1,1,1,"Cd74",9
"239",0.0258702430384567,0.278623626920111,0.598,0.166,1,"Plac8",9
"240",0.0284287104152179,-0.357830466608651,1,0.994,1,"Cst3",9
"241",0.0304590482338476,0.32063132103455,0.765,0.688,1,"Fabp5",9
"242",0.0377960029549471,-0.370471033384355,0.961,0.85,1,"Marcksl1",9
"243",0.0401298646682899,-0.525546084579085,0.99,0.997,1,"H2-Aa",9
"244",0.0419885030995736,-0.530444479038988,0.804,0.756,1,"Cxcl2",9
"245",0.0707051315774787,-0.477895221152558,0.99,0.897,1,"Mfge8",9
"246",0.0711096388271299,-0.584966164642955,0.971,0.791,1,"Fst",9
"247",0.0808503853768406,0.324687874255227,0.588,0.409,1,"Il22",9
"248",0.111584778043224,-0.286478928800001,0.755,0.597,1,"Ccl20",9
"249",0.11831057150799,0.319811686171308,0.451,0.372,1,"Stfa1",9
"250",0.148221460162122,-0.387603463418928,0.971,0.894,1,"Il1r2",9
"251",0.148580227588624,-0.507920047511765,1,0.988,1,"H2-Ab1",9
"252",0.152679776821017,-0.253328458857899,0.961,0.878,1,"Krtdap",9
"253",0.19040421110175,-0.273258147242549,1,0.994,1,"Mt1",9
"254",0.194218685694471,-0.583414663909102,0.99,0.972,1,"H2-Eb1",9
"255",0.201599640062412,-0.529772775295354,0.99,0.875,1,"Cd207",9
"256",0.219589016097223,-0.357325874738433,0.814,0.697,1,"Bcl2a1b",9
"257",0.262057447015615,-0.408023572221127,0.912,0.741,1,"Atf3",9
